Adobe After Effects 8.0 Keyframe Data

	Units Per Second	24
	Source Width	640
	Source Height	480
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	3D Point Control #1	3D Point #2
	Frame	X pixels	Y pixels	Z pixels
	0	219.70872	59.057556	108.32889
	1	226.42073	59.258972	108.39039
	2	240.66028	63.300613	109.25393
	3	248.5589	64.05336	109.47804
	4	256.42398	65.353165	109.239624
	5	263.59525	66.368744	109.76425
	6	275.3962	68.709854	110.30376
	7	279.3742	69.50227	110.616005
	8	282.83008	70.12807	110.82084
	9	284.8445	71.98387	111.19745
	10	285.89005	70.92148	111.1922
	11	284.95078	69.420135	111.058655
	12	283.26318	68.45729	110.69257
	13	280.11096	66.776535	110.160484
	14	271.98807	63.26671	110.08981
	15	266.8329	62.121857	109.53721
	16	261.09665	62.140087	109.638664
	17	253.36218	61.625706	109.31716
	18	237.74481	60.39832	108.84584
	19	229.53104	59.811478	108.99722
	20	221.7735	59.09723	108.41988
	21	214.27345	58.58426	107.50334
	22	202.685	58.10019	106.74863
	23	198.94711	57.87065	106.61316
	24	195.67542	57.26259	106.268814
	25	194.54254	56.61647	106.070755
	26	193.56216	56.497787	105.97318
	27	192.72571	56.844513	105.998634
	28	195.1242	56.76265	106.23927
	29	197.1324	56.67978	106.45832
	30	199.87436	56.277206	106.519844
	31	206.80011	56.443634	107.03199
	32	211.2133	55.373795	108.002266
	33	216.47601	56.160324	108.81555
	34	222.3396	56.668457	109.246956
	35	233.42804	58.94281	109.60435
	36	239.26447	60.844086	109.97332
	37	244.27982	62.98201	110.78042
	38	251.62112	66.34978	111.25978
	39	253.9158	66.74411	111.194626
	40	255.56703	66.49014	111.08681
	41	256.27432	64.183105	110.68024
	42	254.14813	65.176865	109.66258
	43	252.92282	64.13646	109.368195
	44	251.12323	64.592224	109.22134
	45	248.80957	63.57368	109.09949
	46	245.71158	63.944714	109.06423
	47	238.04437	61.48877	107.69655
	48	234.0427	60.44635	107.44058
	49	228.80115	59.795135	107.32042
	50	217.87592	58.591934	106.87595
	51	212.0228	57.878174	106.08247
	52	206.73575	57.958282	105.46008
	53	201.92532	57.779434	104.84678
	54	194.4	58.84503	104.43361
	55	192.19928	58.845078	103.978455
	56	190.54964	58.55606	103.751434
	57	189.84239	58.614975	103.66258
	58	189.87149	58.970734	103.66821
	59	192.65143	57.93454	103.685425
	60	194.75694	57.229874	103.60544
	61	197.37814	56.64122	103.56577
	62	200.3576	56.44986	103.87126
	63	209.01743	56.439438	104.37872
	64	213.52692	56.101196	105.13064
	65	218.74529	57.8739	105.53658
	66	229.92737	59.209137	105.682526
	67	235.54922	61.587646	105.571365
	68	240.52698	64.1779	105.7332
	69	244.92455	66.27782	106.13401
	70	248.01788	68.083405	106.68375
	71	253.1388	69.05296	106.905495
	72	254.26065	68.89496	107.08946
	73	254.0863	67.54108	107.15474
	74	253.15945	65.64885	106.81293
	75	249.12146	62.3017	107.058075
	76	246.96794	61.60939	107.091606
	77	244.38736	59.764023	107.13448
	78	237.55786	56.976654	106.80549
	79	234.24066	56.294983	106.96926
	80	229.77484	56.46341	107.35045
	81	224.81941	55.997787	108.20796
	82	219.507	56.000793	108.00669
	83	207.6258	55.57753	106.87131
	84	201.8703	55.746017	106.3789
	85	196.69495	56.367447	106.13177
	86	191.19057	56.96315	105.71357
	87	186.48221	61.107895	105.110466
	88	185.7511	60.26767	104.91239
	89	186.76605	58.902756	104.811646
	90	188.16876	57.957947	104.81591
	91	194.60144	55.763336	104.321655
	92	198.5657	54.6649	104.22533
	93	202.52792	53.334366	104.20427
	94	207.33658	53.01013	104.77325
	95	217.70999	54.52336	106.05732
	96	223.13033	54.877106	106.00362
	97	227.94522	55.30194	105.94964
	98	231.97462	56.588562	105.92332
	99	238.21552	59.26796	105.889496
	100	240.7709	63.680355	106.26167
	101	242.61661	63.786148	106.12098
