Adobe After Effects 8.0 Keyframe Data

	Units Per Second	24
	Source Width	640
	Source Height	480
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	Point Control #1	Point #2
	Frame	X pixels	Y pixels
	0	219.70872	59.057556
	1	226.42073	59.258972
	2	240.66028	63.300613
	3	248.5589	64.05336
	4	256.42398	65.353165
	5	263.59525	66.368744
	6	275.3962	68.709854
	7	279.3742	69.50227
	8	282.83008	70.12807
	9	284.8445	71.98387
	10	285.89005	70.92148
	11	284.95078	69.420135
	12	283.26318	68.45729
	13	280.11096	66.776535
	14	271.98807	63.26671
	15	266.8329	62.121857
	16	261.09665	62.140087
	17	253.36218	61.625706
	18	237.74481	60.39832
	19	229.53104	59.811478
	20	221.7735	59.09723
	21	214.27345	58.58426
	22	202.685	58.10019
	23	198.94711	57.87065
	24	195.67542	57.26259
	25	194.54254	56.61647
	26	193.56216	56.497787
	27	192.72571	56.844513
	28	195.1242	56.76265
	29	197.1324	56.67978
	30	199.87436	56.277206
	31	206.80011	56.443634
	32	211.2133	55.373795
	33	216.47601	56.160324
	34	222.3396	56.668457
	35	233.42804	58.94281
	36	239.26447	60.844086
	37	244.27982	62.98201
	38	251.62112	66.34978
	39	253.9158	66.74411
	40	255.56703	66.49014
	41	256.27432	64.183105
	42	254.14813	65.176865
	43	252.92282	64.13646
	44	251.12323	64.592224
	45	248.80957	63.57368
	46	245.71158	63.944714
	47	238.04437	61.48877
	48	234.0427	60.44635
	49	228.80115	59.795135
	50	217.87592	58.591934
	51	212.0228	57.878174
	52	206.73575	57.958282
	53	201.92532	57.779434
	54	194.4	58.84503
	55	192.19928	58.845078
	56	190.54964	58.55606
	57	189.84239	58.614975
	58	189.87149	58.970734
	59	192.65143	57.93454
	60	194.75694	57.229874
	61	197.37814	56.64122
	62	200.3576	56.44986
	63	209.01743	56.439438
	64	213.52692	56.101196
	65	218.74529	57.8739
	66	229.92737	59.209137
	67	235.54922	61.587646
	68	240.52698	64.1779
	69	244.92455	66.27782
	70	248.01788	68.083405
	71	253.1388	69.05296
	72	254.26065	68.89496
	73	254.0863	67.54108
	74	253.15945	65.64885
	75	249.12146	62.3017
	76	246.96794	61.60939
	77	244.38736	59.764023
	78	237.55786	56.976654
	79	234.24066	56.294983
	80	229.77484	56.46341
	81	224.81941	55.997787
	82	219.507	56.000793
	83	207.6258	55.57753
	84	201.8703	55.746017
	85	196.69495	56.367447
	86	191.19057	56.96315
	87	186.48221	61.107895
	88	185.7511	60.26767
	89	186.76605	58.902756
	90	188.16876	57.957947
	91	194.60144	55.763336
	92	198.5657	54.6649
	93	202.52792	53.334366
	94	207.33658	53.01013
	95	217.70999	54.52336
	96	223.13033	54.877106
	97	227.94522	55.30194
	98	231.97462	56.588562
	99	238.21552	59.26796
	100	240.7709	63.680355
	101	242.61661	63.786148
	102	243.29175	62.01389
	103	241.36595	60.045025
	104	238.98935	59.72032
	105	235.49829	59.382187
	106	231.42097	58.6812
	107	221.53717	56.71968
	108	216.0563	55.970367
	109	210.11105	56.430145
	110	204.12628	55.27043
	111	192.1183	56.87451
	112	185.86697	57.411224
	113	180.14743	58.812897
	114	175.07309	59.32422
	115	168.12798	60.360703
	116	167.06503	61.879105
	117	166.55046	61.220078
	118	167.3063	61.37755
	119	171.9412	61.607758
	120	175.62854	60.982162
	121	179.587	60.790974
	122	183.88263	60.12135
	123	193.25415	59.23465
	124	197.16534	58.981262
	125	201.37543	57.999146
	126	205.73703	56.782425
	127	213.90881	54.14479
	128	217.6051	54.019684
	129	221.10944	52.98578
	130	224.80609	51.32486
	131	231.27621	48.635147
	132	234.00168	47.203552
	133	236.55185	45.830307
	134	238.7927	44.19464
	135	243.5134	43.858337
	136	245.03918	45.27191
	137	247.36542	45.21321
	138	248.35077	45.924576
	139	249.70557	45.984833
	140	250.29703	44.626358
	141	251.01224	44.769455
	142	251.19507	45.82782
	143	251.68936	46.877045
	144	251.39023	47.577896
	145	251.06525	47.598923
	146	250.76248	47.74048
	147	249.03833	46.257095
	148	248.31732	45.799103
	149	247.59009	45.385498
	150	246.91144	45.18637
	151	245.94394	43.61206
	152	245.88272	43.16545
	153	245.3782	43.121918
