Adobe After Effects 8.0 Keyframe Data

	Units Per Second	24
	Source Width	640
	Source Height	480
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	Point Control #1	Point #2
	154	245.23804	42.894684
	155	244.83472	44.522858
	156	245.84149	44.43216
	157	246.06458	44.485977
	158	246.8645	43.355377
	159	247.10434	42.242508

Effects	Point Control #2	Point #2
	Frame	X pixels	Y pixels
	0	214.06705	111.06134
	1	218.85385	111.02347
	2	228.96909	113.226776
	3	235.14014	112.99693
	4	241.53287	112.99896
	5	247.24887	113.9101
	6	256.6367	116.474686
	7	260.19266	117.24313
	8	263.04865	117.8201
	9	264.88818	119.50761
	10	266.16974	119.32872
	11	265.9839	118.27118
	12	265.1857	117.5218
	13	263.46085	115.83645
	14	258.03552	112.99814
	15	254.35556	111.67851
	16	249.9784	111.52692
	17	244.01187	111.400116
	18	230.70891	112.63094
	19	224.09863	112.594894
	20	217.29337	112.152
	21	210.93088	111.725174
	22	201.34924	111.48262
	23	198.12991	111.58806
	24	195.23553	111.177444
	25	193.66318	110.51749
	26	192.10892	110.22751
	27	191.48367	110.63872
	28	192.57837	110.61278
	29	193.76709	110.555435
	30	195.6854	109.805115
	31	200.48578	109.09578
	32	204.6333	108.29727
	33	209.42278	108.54579
	34	215.06247	109.09451
	35	224.92058	109.97554
	36	229.57704	110.9691
	37	233.651	112.6866
	38	239.72823	115.26177
	39	241.68323	116.02432
	40	243.25636	115.96649
	41	244.34384	114.01301
	42	244.181	114.48444
	43	243.462	113.90955
	44	242.24063	114.271904
	45	240.74802	114.15294
	46	238.59818	114.51988
	47	233.46866	113.039085
	48	229.83005	111.901245
	49	225.97562	110.98421
	50	216.22302	110.50499
	51	210.87018	110.14659
	52	206.19905	110.673935
	53	201.9588	110.78752
	54	195.67508	112.709335
	55	193.49963	112.95535
	56	191.90646	113.00833
	57	191.20857	113.13493
	58	191.04974	113.482864
	59	192.2485	112.999344
	60	193.2792	112.30661
	61	194.76846	111.236664
	62	196.70047	110.63739
	63	202.6442	109.59447
	64	206.08276	109.816696
	65	210.21356	111.04318
	66	219.44977	111.13927
	67	224.40097	112.36369
	68	228.88434	114.25666
	69	232.9224	115.74328
	70	235.84872	117.17824
	71	240.88385	118.20392
	72	242.27457	118.217834
	73	242.85657	117.30722
	74	243.26431	115.97799
	75	242.42874	113.96942
	76	241.62311	113.62648
	77	240.38785	112.292046
	78	236.3245	110.08351
	79	234.07642	108.982925
	80	230.60468	108.968124
	81	226.89828	110.03476
	82	223.00363	110.683914
	83	213.48767	110.141525
	84	208.18674	110.24745
	85	203.45374	111.106155
	86	199.25366	111.73889
	87	194.82602	115.20041
	88	193.46414	114.58641
	89	192.98251	113.44777
	90	193.15952	112.71871
	91	195.1285	110.13664
	92	196.77496	108.83032
	93	198.50397	107.479675
	94	200.43561	106.54874
	95	206.2258	106.60362
	96	209.52911	106.66231
	97	212.90802	106.63628
	98	215.80705	107.05185
	99	221.50845	108.47867
	100	223.88847	111.90964
	101	226.34283	112.84159
	102	227.9851	112.63525
	103	229.24048	111.88919
	104	228.76747	111.86307
	105	227.82614	111.828476
	106	226.26407	111.91606
	107	221.70053	110.9122
	108	218.88583	110.7106
	109	215.74979	110.64276
	110	211.71536	109.71756
	111	202.53503	110.51117
	112	198.41577	111.52887
	113	194.15106	113.210815
	114	190.0852	113.37657
	115	183.74605	114.057495
	116	181.69232	115.24018
	117	180.18518	115.05894
	118	179.3768	115.374535
	119	179.5029	115.02803
	120	180.42084	114.625336
	121	181.2868	114.05617
	122	182.2684	113.31977
	123	185.82846	111.69043
	124	187.72488	111.03221
	125	189.98312	110.488266
	126	192.56197	109.882706
	127	198.49017	109.56766
	128	201.74374	109.739716
	129	204.51886	108.84227
	130	207.42644	107.53601
	131	213.27036	104.953125
	132	216.37036	103.78044
	133	219.43346	102.63187
	134	221.93698	101.12923
	135	227.56564	100.521835
	136	229.60852	101.29794
	137	231.84538	101.42276
	138	233.23047	101.81073
	139	235.14182	101.71123
	140	236.20816	100.60243
	141	237.27939	100.473434
	142	237.88028	101.4579
	143	238.30423	102.53337
	144	238.23746	102.89455
	145	238.0961	102.8401
	146	237.99568	103.01637
	147	237.5611	102.19937
	148	237.2771	101.512436
	149	236.84293	101.06032
	150	236.3989	100.904495
	151	235.85435	99.41498
	152	235.64194	99.199875
	153	235.32713	99.19957
	154	235.55295	99.26187
	155	235.59827	100.38103
	156	236.56308	100.56625
	157	237.41757	100.71121
	158	237.93596	100.02028
	159	238.54971	99.42062

Effects	Point Control #3	Point #2
	Frame	X pixels	Y pixels
	0	211.3887	160.55392
	1	214.03123	160.38847
	2	220.02771	162.03117
	3	224.00984	161.17258
	4	228.24414	159.8396
	5	231.9849	160.17986
	6	239.31488	161.83691
	7	242.08206	162.38846
	8	244.35385	162.76692
	9	246.05237	164.47322
	10	247.37003	164.41873
	11	247.74084	163.62402
	12	247.69492	163.03262
	13	247.06036	161.54327
	14	243.47202	160.06598
	15	241.35419	159.08868
	16	238.26913	159.58563
	17	234.31805	159.97743
	18	225.00739	162.37325
	19	220.04617	163.04855
	20	214.83368	162.77414
	21	210.19559	162.06018
	22	202.81787	161.84737
	23	200.24222	162.02579
	24	197.74742	161.5155
	25	196.05762	160.67413
	26	194.06174	160.10913
	27	193.41217	160.5813
	28	193.44397	160.67206
	29	193.81805	160.73055
	30	194.65121	159.93282
	31	196.92892	159.26175
	32	200.4824	159.12283
	33	204.47476	159.24463
	34	209.40474	159.65605
	35	217.32251	159.42549
	36	220.68352	159.7262
	37	223.64783	161.331
	38	227.98508	162.91508
	39	229.52908	163.1641
	40	230.66226	162.71707
	41	231.95248	160.65114
	42	233.09021	160.43367
	43	232.70724	159.84401
	44	231.8164	160.22955
	45	230.95508	160.60718
	46	229.51758	161.41257
	47	226.836	160.4867
	48	224.0293	159.95493
	49	221.66751	159.87256
	50	214.61795	160.46194
	51	210.65384	159.98198
	52	207.24881	160.3281
	53	203.97737	160.43918
	54	198.90118	162.65714
	55	196.92505	162.76675
	56	195.59558	162.77527
	57	194.90405	162.85132
	58	194.6756	163.17633
	59	194.59781	162.61615
	60	194.76309	161.81018
	61	195.40018	160.62648
	62	196.46115	160.14978
	63	199.7547	159.25177
	64	201.87857	159.92957
	65	204.32559	160.91418
	66	210.73575	160.03311
	67	214.40976	160.12807
	68	217.84796	161.16353
	69	221.30586	162.28645
	70	223.65384	163.3983
	71	228.05698	163.26279
	72	229.53015	163.13083
	73	230.7782	162.45374
	74	232.40402	161.20865
	75	234.75891	160.93929
	76	235.11731	161.11572
	77	235.05847	160.421
	78	233.04315	158.83342
	79	231.54309	158.43839
	80	228.76898	159.00229
	81	226.96509	161.24481
	82	224.88376	162.18816
	83	218.24837	161.3866
	84	214.03925	161.31262
	85	210.11382	162.07773
	86	207.40247	162.39062
	87	204.10782	164.6489
	88	202.13345	163.98074
	89	200.09357	162.99857
	90	199.33311	162.45966
	91	197.54854	159.63495
	92	197.25934	158.30215
	93	197.04047	157.03604
	94	196.7963	156.5875
	95	198.42831	156.83261
	96	199.51047	156.3263
	97	201.29498	155.87784
	98	202.83522	155.80655
	99	206.55243	156.1788
	100	208.34189	159.07712
	101	210.60068	159.50577
	102	212.68024	159.68094
	103	215.94061	158.797
	104	217.03488	159.04349
	105	218.00327	160.05634
	106	218.8089	160.8774
	107	219.19522	161.65381
	108	218.8291	161.575
	109	218.12265	161.28996
	110	215.87872	160.68076
	111	209.60257	161.86374
	112	208.00293	162.87323
	113	205.88947	164.16208
	114	203.56087	163.65247
	115	198.82797	162.84976
	116	196.03406	163.41136
	117	193.85835	162.77261
	118	191.55011	163.00977
	119	188.17136	162.10094
	120	186.94669	161.96571
	121	185.05814	161.31836
	122	183.1116	161.11673
	123	181.76897	159.60281
	124	181.96469	159.40656
	125	182.71524	159.35828
	126	183.69336	159.1778
	127	186.97919	160.66766
	128	189.32767	161.40274
	129	191.3468	160.78558
	130	193.49036	159.5491
	131	198.11505	157.51619
	132	201.27571	156.72849
	133	204.27863	155.7558
	134	206.7377	154.57321
	135	212.32281	154.60086
	136	214.39725	155.42044
	137	216.116	155.50656
	138	217.61122	156.14703
	139	219.7547	156.33293
	140	221.17108	155.56154
	141	222.34525	155.52158
	142	223.13194	156.66754
	143	223.46295	157.76266
	144	223.65082	158.19507
	145	223.76245	158.23921
	146	223.9436	158.56317
	147	224.75328	158.16064
	148	224.89072	157.58455
	149	224.69556	157.20099
	150	224.42203	157.09378
	151	224.09546	155.67773
	152	224.1402	155.5237
	153	224.2144	155.61641
	154	224.98471	155.79211
	155	225.53754	157.03336
	156	226.64822	157.24854
	157	228.16724	157.51993
	158	228.70561	156.86697
	159	230.0682	156.42487

Effects	Point Control #4	Point #2
	Frame	X pixels	Y pixels
	0	260.22745	109.62514
	1	265.78336	112.96214
	2	276.23343	122.14796
	3	281.95218	125.10537
	4	287.674	128.09093
	5	292.5691	131.32767
	6	300.35904	137.30724
	7	303.27545	139.24292
	8	305.7238	140.53049
	9	307.46042	142.263
	10	308.76044	142.04648
	11	308.94876	140.38962
	12	308.6885	138.79387
	13	307.65723	135.95915
	14	303.56894	130.03728
	15	300.6501	126.771385
	16	296.7501	124.29833
	17	291.2816	121.34644
	18	277.54205	115.893364
	19	270.29138	113.3169
	20	262.45596	110.03781
	21	255.20786	106.722885
	22	243.97177	102.9908
	23	239.73819	101.927536
	24	236.38318	100.685104
	25	234.32138	99.55919
	26	232.7987	99.28041
	27	232.84473	100.189255
	28	234.89267	101.763885
	29	236.77966	102.991714
	30	239.64139	103.86015
	31	246.80664	108.110306
	32	251.62482	109.52466
	33	256.77393	111.44574
	34	262.68845	113.66624
	35	272.55725	118.95126
	36	276.71692	122.39871
	37	279.8304	126.49688
	38	283.61407	133.12909
	39	284.61917	135.26025
	40	285.21384	136.47974
	41	285.6068	135.26183
	42	285.03674	136.3443
	43	284.36417	135.7835
	44	283.5544	135.83377
	45	282.901	134.61536
	46	281.74142	133.69162
	47	279.9657	127.149994
	48	277.45044	123.77624
	49	274.49396	119.54167
	50	265.15515	112.84217
	51	259.2122	109.05376
	52	253.3916	106.20326
	53	247.67143	103.393906
	54	238.17203	101.3575
	55	234.88312	100.29764
	56	232.69778	99.56935
	57	231.56526	99.28476
	58	231.08063	99.42616
	59	232.5173	99.79668
	60	233.82382	99.718
	61	235.732	99.383545
	62	238.27957	100.01622
	63	246.00467	102.809875
	64	250.66837	106.06004
	65	255.96033	110.25964
	66	267.36206	117.67287
	67	272.33377	123.20402
	68	276.29926	128.53113
	69	278.5735	133.65765
	70	279.42053	137.96483
	71	281.0879	142.91446
	72	281.1908	143.86133
	73	281.0473	143.077
	74	281.23438	141.55981
	75	280.99207	136.73833
	76	280.56476	135.27612
	77	279.99103	132.52823
	78	277.86835	127.74181
	79	277.2074	124.5272
	80	275.04214	122.544525
	81	273.0462	119.28374
	82	270.66467	116.58403
	83	262.7292	109.50922
	84	257.3399	106.76526
	85	251.51132	104.575836
	86	245.82288	101.91641
	87	237.20023	100.31378
	88	234.13235	98.75937
	89	232.49738	97.78465
	90	232.06082	97.28107
	91	234.02908	96.35695
	92	236.1701	96.46307
	93	238.7796	97.05583
	94	242.2688	99.54233
	95	249.3504	104.96457
	96	253.71451	108.089005
	97	258.23645	111.09668
	98	262.16452	114.8004
	99	268.653	123.40266
	100	270.6144	129.3974
	101	272.35278	132.62314
	102	273.46097	133.50467
	103	273.62564	134.12141
	104	272.82025	133.86647
	105	271.94174	132.4851
	106	270.5059	131.04797
	107	265.55878	126.394356
	108	263.14362	124.53937
	109	260.8778	122.59884
	110	257.88644	119.37996
	111	250.96526	115.18019
	112	248.06326	111.12256
	113	244.28317	108.255035
	114	239.79805	103.9091
	115	230.41684	97.40448
	116	226.58075	96.628006
	117	223.81439	95.08833
	118	222.08047	95.1465
	119	221.26335	95.15773
	120	222.24557	96.06474
	121	223.27821	97.0428
	122	225.12088	99.16359
	123	229.78922	102.03993
	124	231.87393	103.4203
	125	234.18979	104.8318
	126	236.84924	106.39113
	127	243.68771	112.16238
	128	247.73114	115.10912
	129	251.38065	116.64324
	130	254.97969	117.54167
	131	261.51398	119.10151
	132	264.8086	119.17417
	133	267.87424	118.93232
	134	270.1731	118.088326
	135	275.10025	117.85363
	136	276.72272	118.697235
	137	278.28784	119.205086
	138	279.1031	119.12454
	139	280.14114	118.17474
	140	281.18256	116.04751
	141	282.09354	115.63882
	142	282.91272	116.02983
	143	283.32764	116.64262
	144	283.31012	116.54761
	145	283.30627	115.83129
	146	283.4761	115.778206
	147	283.58344	113.643875
	148	283.5813	112.217
	149	283.37445	111.38373
	150	283.0837	111.053894
	151	282.80377	109.45279
	152	282.88913	109.1409
	153	282.86884	108.913086
	154	283.48264	108.666534
	155	284.138	109.70715
	156	285.34595	110.01431
	157	286.46045	109.79184
	158	287.07397	109.3544
	159	287.80664	108.44284

Effects	Point Control #5	Point #2
	Frame	X pixels	Y pixels
	0	292.88516	114.85356
	1	300.5917	125.002396
	2	312.43475	148.26038
	3	317.22318	161.27946
	4	319.58002	173.78151
	5	319.78265	185.71597
	6	316.12622	201.26093
	7	314.20374	207.37265
	8	313.13153	211.06923
	9	312.60123	213.64984
	10	312.35822	213.0858
	11	314.33472	210.48056
	12	317.16864	208.07672
	13	320.41754	202.96533
	14	324.89444	192.26634
	15	326.53864	183.9468
	16	326.79724	172.57928
	17	325.18225	162.43434
	18	310.7318	135.64182
	19	302.83362	126.52531
	20	296.30237	116.471596
	21	289.3614	108.31889
	22	273.64774	93.0811
	23	267.03415	87.69011
	24	260.53906	83.28653
	25	255.51123	82.39375
	26	253.13722	83.83766
	27	254.63132	90.908936
	28	257.97684	100.22368
	29	263.16183	106.3739
	30	267.17557	116.73469
	31	269.71127	142.16194
	32	269.93024	153.13086
	33	271.7896	160.05954
	34	275.22223	166.43181
	35	289.09906	175.57724
	36	295.58273	180.1599
	37	301.19815	184.00351
	38	309.9407	189.0139
	39	311.17194	192.37862
	40	311.79184	194.8362
	41	311.99164	197.54584
	42	309.12256	200.36021
	43	308.654	201.04404
	44	307.3072	201.71722
	45	307.1919	201.21402
	46	307.73914	198.71913
	47	306.71252	187.01517
	48	306.14307	177.06264
	49	303.89438	169.37207
	50	295.88422	148.38467
	51	289.44128	137.56833
	52	282.29086	129.07745
	53	276.09482	119.77432
	54	259.87564	107.121994
	55	252.36575	101.89229
	56	247.53275	100.642395
	57	243.40039	100.66092
	58	240.23257	98.013504
	59	240.99637	109.54173
	60	241.41348	118.13523
	61	243.59256	126.28889
	62	246.56541	133.64767
	63	251.35704	148.13016
	64	255.33037	154.71811
	65	259.94553	160.60223
	66	276.49652	172.0481
	67	285.5083	179.19452
	68	291.60336	185.82722
	69	297.5613	194.20038
	70	300.80487	200.6932
	71	303.12543	208.86356
	72	299.76047	211.37573
	73	298.1552	212.60799
	74	295.78943	212.51413
	75	294.30728	205.45912
	76	294.13315	202.3433
	77	293.95334	199.53981
	78	296.83496	192.13434
	79	298.0562	188.37202
	80	298.512	184.13354
	81	299.7021	178.0408
	82	300.1938	166.71985
	83	298.17953	148.89986
	84	293.46582	138.69409
	85	284.8964	131.30045
	86	277.00055	122.8666
	87	262.60788	110.93979
	88	256.50916	108.859375
	89	253.13628	104.99208
	90	249.11807	107.669464
	91	248.74362	111.73724
	92	250.74654	114.92294
	93	253.72855	120.38438
	94	254.9298	127.32574
	95	262.07343	141.40125
	96	267.88687	147.43495
	97	272.60654	153.35208
	98	278.3328	159.44586
	99	289.8024	173.87973
	100	294.83173	182.4347
	101	298.09348	191.4548
	102	299.57904	197.74586
	103	296.58234	206.5921
	104	292.63657	205.5228
	105	290.5045	204.49792
	106	287.97946	203.22598
	107	286.11215	195.418
	108	286.6132	189.975
	109	288.22128	184.46753
	110	290.0449	177.1813
	111	291.36285	158.93842
	112	289.48508	148.20065
	113	286.11914	139.58363
	114	281.76392	131.87059
	115	271.6715	120.03642
	116	264.5228	112.64315
	117	257.9547	109.40799
	118	250.94522	107.983795
	119	243.5683	107.24208
	120	243.28201	108.643555
	121	243.98938	111.753815
	122	244.96397	118.73989
	123	249.1609	132.79614
	124	249.80646	140.99467
	125	251.82376	150.02924
	126	253.92505	159.18445
	127	257.4043	176.14133
	128	260.04718	184.5459
	129	261.8473	191.36931
	130	261.8259	195.84204
	131	257.85037	200.05502
	132	257.25467	198.9034
	133	258.37662	197.5654
	134	260.17648	194.70456
	135	263.8346	189.27156
	136	264.2089	185.6777
	137	265.93796	182.78253
	138	267.3967	180.487
	139	270.91492	177.19325
	140	273.98627	177.22838
	141	275.2076	177.19377
	142	276.399	178.56717
	143	279.49286	180.58499
	144	280.18994	182.89954
	145	283.16785	184.50635
	146	285.8309	186.57426
	147	293.00845	186.5311
	148	295.59195	185.04611
	149	299.80762	183.63672
	150	301.8462	182.32428
	151	303.97916	180.46432
	152	304.36954	180.22595
	153	304.57013	180.13309
	154	304.19968	180.01688
	155	302.67798	181.27823
	156	301.08765	182.42477
	157	299.23135	182.93692
	158	297.7027	181.67235
	159	296.6795	180.69453

Effects	Point Control #6	Point #2
	Frame	X pixels	Y pixels
	0	334.73523	151.26569
	1	339.65735	165.23352
	2	342.91043	196.61995
	3	340.74896	214.71417
	4	339.71155	232.16982
	5	335.27087	248.7459
	6	326.4654	270.22626
	7	320.61313	278.2547
	8	315.1301	282.98093
	9	310.79135	285.9937
	10	303.40085	284.12756
	11	302.15024	280.36542
	12	301.98254	276.78418
	13	300.86423	269.44678
	14	304.21216	256.47162
	15	312.09665	247.6633
	16	321.43658	235.75763
	17	336.17093	221.37054
	18	347.55444	177.12581
	19	347.56384	158.15164
	20	348.07788	138.52968
	21	344.60004	121.342575
	22	331.5694	92.8571
	23	323.2425	81.20125
	24	316.48364	73.93594
	25	308.62845	67.55031
	26	298.7638	61.49756
	27	295.12726	63.030487
	28	291.5139	65.97464
	29	289.37695	71.110275
	30	286.73865	78.398834
	31	291.9406	98.81944
	32	297.6704	110.57454
	33	305.7175	124.9035
	34	315.10715	143.50684
	35	330.4568	187.14737
	36	333.60565	207.84174
	37	332.86923	225.59181
	38	328.3874	249.71295
	39	324.08554	257.10013
	40	319.39703	261.82376
	41	314.32162	265.9117
	42	305.35907	268.55286
	43	301.77902	267.6801
	44	299.36362	267.19284
	45	297.22394	266.12762
	46	295.98718	262.5389
	47	296.05457	250.1158
	48	299.83066	240.86942
	49	301.763	233.62926
	50	304.84256	212.10818
	51	311.73126	194.2381
	52	315.74445	176.49733
	53	317.5756	158.96608
	54	310.79144	121.27649
	55	306.1112	104.69092
	56	298.48016	89.245926
	57	290.61398	77.7778
	58	282.70322	71.95497
	59	271.5747	68.008606
	60	268.26807	71.49094
	61	267.37112	78.14656
	62	270.0484	86.724686
	63	285.76947	111.784134
	64	295.82837	126.417946
	65	305.95505	144.992
	66	325.70602	188.96925
	67	331.4644	211.54617
	68	331.8731	230.23431
	69	330.10706	249.20088
	70	325.47824	263.0886
	71	310.2549	277.19937
	72	302.99472	280.6588
	73	295.18713	282.10132
	74	286.20105	282.2889
	75	271.81305	270.3961
	76	268.22064	266.1073
	77	267.1533	262.79114
	78	268.90405	254.63754
	79	271.2043	251.41284
	80	274.26154	248.64566
	81	277.71967	243.0477
	82	283.51825	233.01112
	83	296.98663	214.4984
	84	302.91183	199.32695
	85	306.36993	183.40178
	86	311.36752	166.76056
	87	311.8784	136.38498
	88	310.2958	121.99007
	89	308.14136	110.81552
	90	305.051	102.96924
	91	301.31464	88.443436
	92	300.99747	86.15866
	93	300.86615	85.20265
	94	301.81677	89.32243
	95	314.0643	108.20439
	96	323.83725	121.91384
	97	331.95218	138.92107
	98	339.4876	155.5758
	99	347.70233	197.88766
	100	347.09973	219.73866
	101	341.53113	240.96094
	102	331.01904	256.69153
	103	304.4494	274.4308
	104	295.01453	274.7625
	105	286.4778	274.84744
	106	277.63794	274.13702
	107	259.17505	262.45868
	108	252.04694	253.47038
	109	247.95105	244.56586
	110	247.04587	235.41388
	111	254.12552	220.22198
	112	260.67334	212.68066
	113	270.76593	204.7896
	114	284.3751	193.4725
	115	299.89682	169.49469
	116	305.69437	152.51859
	117	307.15262	136.23666
	118	306.34628	124.2353
	119	305.22623	107.55986
	120	305.9874	103.51993
	121	306.50616	102.28624
	122	306.8378	104.068344
	123	312.138	116.292114
	124	313.9746	128.62805
	125	317.84155	145.45895
	126	319.79248	166.05164
	127	314.55032	209.90291
	128	306.99945	231.76259
	129	299.13174	248.62596
	130	287.20013	261.1244
	131	266.54752	271.88788
	132	256.94495	269.81592
	133	242.73883	263.2089
	134	229.45227	253.69504
	135	210.3523	234.8083
	136	204.88516	226.82042
	137	203.22441	221.71849
	138	202.75987	217.52835
	139	207.15173	215.93925
	140	210.9688	217.50253
	141	217.04037	222.10965
	142	224.41122	228.39673
	143	247.4866	242.37573
	144	259.25916	249.4073
	145	270.1459	254.02417
	146	280.32126	258.8529
	147	294.0588	259.56305
	148	299.19424	257.779
	149	302.35684	256.31775
	150	307.29437	254.25417
	151	313.54	251.313
	152	315.01633	250.81956
	153	315.77032	250.57497
	154	315.11685	250.54413
	155	309.96045	252.05927
	156	306.39188	253.79459
	157	301.29666	254.77008
	158	297.5604	253.1377
	159	289.81573	250.69415

Effects	Point Control #7	Point #2
	Frame	X pixels	Y pixels
	0	164.48303	112.604065
	1	168.84283	108.95749
	2	179.61176	103.91054
	3	186.643	100.45264
	4	193.99005	97.4485
	5	200.73773	96.03487
	6	212.3569	95.37656
	7	216.77142	95.07051
	8	220.14087	94.985886
	9	222.13132	96.6535
	10	223.43405	96.533646
	11	222.83713	96.05911
	12	221.39331	96.10814
	13	218.8418	95.52132
	14	211.65863	95.64334
	15	206.988	96.23581
	16	201.76266	98.36119
	17	194.95406	101.077545
	18	181.08488	109.17407
	19	174.68956	111.82262
	20	168.50339	114.436005
	21	162.78629	117.16441
	22	154.55911	120.80478
	23	152.24844	122.24078
	24	149.76218	122.77282
	25	148.635	122.65359
	26	147.01672	122.359024
	27	145.73454	122.19675
	28	145.87563	120.37937
	29	146.37895	118.88857
	30	147.42033	116.33289
	31	150.28574	110.16376
	32	154.10674	106.97757
	33	158.87025	105.44978
	34	164.65547	104.25581
	35	175.59558	100.68167
	36	181.23608	99.248276
	37	186.90958	98.70822
	38	196.23407	97.553925
	39	199.41693	97.08841
	40	202.1958	95.891785
	41	204.1826	93.33156
	42	204.58643	93.29938
	43	203.84177	92.72116
	44	202.16296	93.35512
	45	199.76923	94.26051
	46	196.5086	95.81641
	47	187.15173	98.982834
	48	181.96439	99.96512
	49	176.67844	102.28935
	50	165.29555	108.072525
	51	159.88577	111.299164
	52	155.81569	115.4469
	53	152.60754	118.769646
	54	148.98714	125.18066
	55	147.80653	126.93121
	56	146.75385	127.88418
	57	146.45772	128.49316
	58	146.60303	129.09018
	59	147.49301	127.67302
	60	148.21402	126.29878
	61	149.2636	124.403854
	62	150.5579	122.424286
	63	154.73167	117.09131
	64	157.07658	113.94583
	65	160.28363	111.89839
	66	168.56815	104.20073
	67	174.44043	101.06477
	68	180.15298	99.58588
	69	186.95695	97.705536
	70	192.70502	96.595856
	71	201.8356	94.203766
	72	204.73862	93.48384
	73	206.2313	92.593765
	74	206.9824	91.53354
	75	205.88962	92.395645
	76	204.79517	93.15195
	77	202.96283	93.16884
	78	196.89491	93.32387
	79	192.91528	94.148605
	80	187.9542	95.93768
	81	182.21576	101.07947
	82	176.28674	104.90071
	83	163.59985	110.782166
	84	157.64746	113.82789
	85	153.15843	117.940544
	86	149.87152	122.15466
	87	148.88075	131.34158
